timewindow,port,external_ips,new_external_ips,num_conns,internal_ips,min_duration,max_duration,mean_duration,variance_duration,min_orig_bytes,max_orig_bytes,mean_orig_bytes,variance_orig_bytes,min_resp_bytes,max_resp_bytes,mean_resp_bytes,variance_resp_bytes,min_orig_pkts,max_orig_pkts,mean_orig_pkts,variance_orig_pkts,min_resp_pkts,max_resp_pkts,mean_resp_pkts,variance_resp_pkts,S0_count,S1_count,SF_count,REJ_count,S2_count,S3_count,RSTO_count,RSTR_count,RSTOS0_count,RSTRH_count,SH_count,SHR_count,OTH_count,failed_conn_count,zero_resp_bytes_count,label
37,443,18,1,26,14,0.013692,466.644463,50.19936540000001,11698.925664426408,0.0,2192.0,915.88,430003.14559999993,0.0,41000.0,7201.2,88522718.56000002,1.0,115.0,15.346153846153848,433.0724852071007,0.0,102.0,15.153846153846152,364.5917159763313,2,0,18,0,0,0,6,0,0,0,0,0,0,8,3,True
38,443,12,0,17,10,0.2354,222.121969,23.303201764705893,3334.863181445725,126.0,2301.0,785.9411764705882,337138.5259515571,121.0,1510830.0,93552.82352941176,125578434517.67473,8.0,589.0,46.0,18446.23529411765,6.0,1051.0,72.05882352941177,59910.40830449826,0,0,16,0,0,0,1,0,0,0,0,0,0,1,0,False
39,443,12,1,13,9,0.595666,115.44214099999999,23.398667307692307,1069.8302902535786,144.0,2481.0,916.6153846153846,414451.6213017751,126.0,16207.0,7809.384615384615,37257671.92899408,9.0,18.0,12.846153846153848,9.207100591715976,5.0,18.0,11.230769230769232,16.177514792899405,0,0,11,0,0,0,2,0,0,0,0,0,0,2,0,False
40,443,10,0,18,9,0.5748310000000001,410.24728999999996,96.7012445,17422.19335227915,117.0,19082.0,1625.388888888889,18000240.015432093,129.0,20106.0,6308.11111111111,41541388.432098776,6.0,44.0,14.944444444444445,57.71913580246914,6.0,48.0,14.166666666666664,80.1388888888889,0,0,12,0,0,0,6,0,0,0,0,0,0,6,0,False
41,443,10,3,11,9,6.9e-05,890.321199,103.37660627272726,66074.64480677918,0.0,2659.0,891.0,594503.0909090908,0.0,40975.0,10247.90909090909,140621652.62809917,1.0,79.0,19.363636363636363,406.41322314049586,1.0,123.0,24.63636363636364,1054.595041322314,0,1,8,0,0,0,1,0,0,0,0,0,1,2,1,False
42,443,18,4,21,12,0.26029800000000003,212.353536,24.31719157142857,2960.8020416730988,0.0,4258.0,1018.0,829120.857142857,0.0,40975.0,8848.952380952382,97431298.23582768,4.0,26.0,12.571428571428573,37.38775510204081,3.0,40.0,13.095238095238097,70.65759637188211,0,0,15,0,0,0,1,4,0,0,0,0,1,6,5,True
43,443,15,3,22,11,0.00037,364.300052,55.31625222727274,11979.823393590612,0.0,10127.0,1588.4545454545455,6212782.520661158,0.0,206896.0,14202.863636363636,1798177879.663223,1.0,79.0,14.727272727272727,248.92561983471074,1.0,158.0,17.545454545454547,978.3388429752071,0,0,20,1,0,0,1,0,0,0,0,0,0,2,1,False
44,443,10,1,11,10,0.034731,73.066644,11.627142090909093,410.0863569046729,152.0,2296.0,915.9090909090908,370621.9008264464,129.0,103753.0,17757.363636363636,779515946.9586776,8.0,54.0,17.09090909090909,156.0826446280992,6.0,80.0,18.545454545454547,400.06611570247935,0,0,10,0,0,0,1,0,0,0,0,0,0,1,0,False
45,443,8,1,10,8,0.592391,102.407032,16.101759100000002,869.7887755633266,120.0,2869.0,1011.4,751803.04,133.0,21379.0,9267.1,49599451.09,7.0,23.0,13.0,22.6,4.0,23.0,12.0,32.599999999999994,0,0,7,0,0,0,3,0,0,0,0,0,0,3,0,False
46,443,16,5,20,13,2.3e-05,69.203661,7.2540162000000015,223.00229941334555,0.0,132875.0,7154.2,832039733.16,0.0,40975.0,8536.85,88062878.62750001,1.0,116.0,16.0,568.9999999999999,0.0,63.0,13.25,206.0875,2,0,14,0,0,0,2,1,0,0,0,0,1,6,2,True
47,443,20,6,27,12,0.000144,20.616335999999997,3.7687802608695655,34.029804939423514,0.0,1721.0,569.0869565217391,241976.34026465032,0.0,380980.0,23393.478260869564,5899007905.032137,1.0,183.0,14.629629629629632,1134.5294924554187,0.0,268.0,18.444444444444443,2474.246913580247,4,1,13,4,0,0,5,0,0,0,0,0,0,13,7,True
48,443,12,1,16,8,0.247994,242.92178399999997,33.6133825,4470.786223880181,0.0,2302.0,754.3125,413011.46484375,0.0,16223.0,3210.25,24699756.8125,2.0,22.0,9.8125,22.52734375,0.0,18.0,9.4375,18.99609375,1,0,13,0,0,1,1,0,0,0,0,0,0,3,1,False
49,443,11,1,15,10,0.131824,474.61508200000003,60.061891538461545,18917.483072810704,0.0,21180.0,2676.538461538461,29526436.55621302,0.0,18966.0,7949.0,39342932.00000001,1.0,49.0,14.2,130.16,0.0,50.0,13.266666666666667,136.86222222222224,3,0,11,0,0,0,1,0,0,0,0,0,0,4,1,False
50,443,9,0,11,7,9e-05,65.842365,8.751426181818182,329.22644675221284,0.0,1008.0,576.4545454545455,109887.3388429752,1.0,43346.0,12008.909090909092,139489115.17355374,1.0,28.0,14.818181818181818,39.78512396694215,1.0,32.0,14.454545454545455,58.247933884297545,0,0,7,0,0,0,2,1,0,0,0,0,1,4,0,False
51,443,10,0,20,9,5.6999999999999996e-05,240.30414700000003,29.78417915,5115.806724442464,0.0,1558.0,465.1,248432.69,0.0,40975.0,5645.0,98429125.9,1.0,26.0,8.7,57.41,1.0,38.0,8.75,81.4875,0,0,8,0,0,2,1,8,0,0,0,0,1,12,8,True
52,443,10,1,21,9,0.008967000000000001,239.43677000000002,22.198135523809523,2527.9585691165084,0.0,39085.0,4864.333333333333,73807343.36507934,0.0,65855.0,18393.23809523809,387166436.65759647,1.0,76.0,22.0,322.00000000000006,1.0,83.0,23.33333333333333,408.22222222222223,0,0,18,0,0,0,1,2,0,0,0,0,0,3,2,False
53,443,13,1,21,10,1.4000000000000001e-05,340.136393,36.48835523809525,7941.19802263813,0.0,4434.0,955.809523809524,1407587.2018140592,0.0,23462.0,5415.285714285715,44989375.25170068,1.0,24.0,11.428571428571427,44.721088435374156,1.0,24.0,11.0,43.61904761904761,0,0,16,3,0,0,2,0,0,0,0,0,0,5,3,False
54,443,7,1,8,6,0.016734,240.05037000000002,54.84068714285714,7187.203251013238,0.0,2481.0,909.7142857142856,600719.918367347,0.0,16223.0,6449.142857142857,39902296.408163264,1.0,17.0,10.25,33.4375,0.0,18.0,9.375,37.984375,1,0,5,1,0,0,1,0,0,0,0,0,0,3,1,False
55,443,11,1,13,10,0.560345,20.63578,6.9172175384615375,39.75288292825764,0.0,1558.0,572.4615384615385,166412.86390532547,0.0,16223.0,6575.6923076923085,35170868.67455621,2.0,17.0,11.0,20.46153846153846,1.0,18.0,10.076923076923077,23.455621301775146,0,0,10,0,0,0,2,0,0,0,0,0,1,3,1,False
56,443,9,0,11,8,0.261704,225.89325699999998,24.067369181818187,4105.6193590714865,142.0,2416.0,933.1818181818179,475973.05785123963,139.0,698131.0,74139.54545454546,39071815073.52067,8.0,252.0,37.09090909090909,4659.173553719009,6.0,489.0,59.45454545454545,18535.157024793392,0,0,9,0,0,0,2,0,0,0,0,0,0,2,0,False
